activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,document_year,molecule_chembl_id,parent_molecule_chembl_id,pchembl_value,potential_duplicate,published_relation,published_type,published_units,published_value,qudt_units,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,uo_units
,172986,CHEMBL682298,Binding affinity for estrogen receptor alpha,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136521,Bioorg. Med. Chem. Lett.,2003,CHEMBL489,CHEMBL489,9.3,False,=,Ki,nM,0.5,http://www.openphacts.org/units/Nanomolar,96916,1,True,=,Ki,nM,0.5,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,172987,CHEMBL677221,Binding affinity for estrogen receptor beta,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136521,Bioorg. Med. Chem. Lett.,2003,CHEMBL489,CHEMBL489,9.3,False,=,Ki,nM,0.5,http://www.openphacts.org/units/Nanomolar,96916,1,True,=,Ki,nM,0.5,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,UO_0000065
,172988,CHEMBL874174,Inhibition of estradiol-stimulated MCF-7 breast adenocarcinoma cell proliferation,F,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136521,Bioorg. Med. Chem. Lett.,2003,CHEMBL489,CHEMBL489,8.59,False,=,IC50,nM,2.6,http://www.openphacts.org/units/Nanomolar,96916,1,True,=,IC50,nM,2.6,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,191438,CHEMBL715113,Inhibition of estrogen-induced proliferation in human MCF-7 breast cancer cells,F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130021,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,8.93,False,=,IC50,nM,1.17,http://www.openphacts.org/units/Nanomolar,47478,1,True,=,IC50,nM,1.17,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000065
Not Determined,191439,CHEMBL778951,In vivo inhibition of estrogen-stimulated uterine weight gain in immature rats on peroral administration; ND=not determined,F,BAO_0003036,BAO_0000218,organism-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130021,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,,False,,ED50,mg kg-1,,,47478,1,False,,ED50,,,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
Not Determined,191440,CHEMBL778953,In vivo inhibition of estrogen-stimulated uterine weight gain in immature rats on subcutaneous administration; ND=not determined,F,BAO_0003036,BAO_0000218,organism-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130021,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,,False,,ED50,mg kg-1,,,47478,1,False,,ED50,,,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,220042,CHEMBL677829,Displacement of [3H]estradiol from estrogen receptor in rat uterine cytosol,B,,BAO_0000019,assay format,CC\C(=C(/c1ccccc1)\c2ccc(OCCO)cc2)\c3ccccc3,,CHEMBL1122204,J. Med. Chem.,1982,CHEMBL46128,CHEMBL46128,,False,=,RBA,,0.9,,77626,1,False,=,RBA,,0.9,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,479615,CHEMBL681896,Inhibition of [3H]estradiol binding to calf uterine Estrogen receptor relative to tamoxifen,B,,BAO_0000224,protein format,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124143,J. Med. Chem.,1988,CHEMBL279301,CHEMBL279301,,False,=,RBA,,2,,33183,1,False,=,RBA,,2,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,
,479616,CHEMBL682835,Inhibition of [3H]estradiol binding to Estrogen receptor of MCF-7 cell lysate relative to tamoxifen,B,,BAO_0000019,assay format,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124143,J. Med. Chem.,1988,CHEMBL279301,CHEMBL279301,,False,=,RBA,,0.4,,33183,1,False,=,RBA,,0.4,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,508453,CHEMBL681896,Inhibition of [3H]estradiol binding to calf uterine Estrogen receptor relative to tamoxifen,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124143,J. Med. Chem.,1988,CHEMBL489,CHEMBL489,,False,=,RBA,,100,,33179,1,False,=,RBA,,100,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,
,508454,CHEMBL682835,Inhibition of [3H]estradiol binding to Estrogen receptor of MCF-7 cell lysate relative to tamoxifen,B,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124143,J. Med. Chem.,1988,CHEMBL489,CHEMBL489,,False,=,RBA,,2.9,,33179,1,False,=,RBA,,2.9,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,572242,CHEMBL677750,Displacement of [3H]E2 from calf uterine estrogen receptor,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,,False,=,RBA,%,15.6,http://qudt.org/vocab/unit#Percent,56135,1,False,=,RBA,%,15.6,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
,572243,CHEMBL712016,Agonistic effect on estrogen receptor mediated transcriptional activation in MCF-7-2a cells at 1 uM compared to 10e-8 M estradiol,F,,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,,False,=,Activation,%,0,http://qudt.org/vocab/unit#Percent,56135,1,False,=,Activation,%,0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000187
,572244,CHEMBL712018,Inhibition of estradiol induced estrogen receptor transcriptional activation in MCF-7-2a cells,F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,8.16,False,=,IC50,nM,7,http://www.openphacts.org/units/Nanomolar,56135,1,True,=,IC50,nM,7,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,572245,CHEMBL712019,Inhibition of MCF-7 cell proliferation at 5 uM,F,,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,,False,=,T/C corr,%,25,http://qudt.org/vocab/unit#Percent,56135,1,False,=,T/C corr,%,25,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,574598,CHEMBL677750,Displacement of [3H]E2 from calf uterine estrogen receptor,B,,BAO_0000224,protein format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38222,CHEMBL38222,,False,=,RBA,%,0.95,http://qudt.org/vocab/unit#Percent,56137,1,False,=,RBA,%,0.95,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
,574599,CHEMBL712016,Agonistic effect on estrogen receptor mediated transcriptional activation in MCF-7-2a cells at 1 uM compared to 10e-8 M estradiol,F,,BAO_0000219,cell-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38222,CHEMBL38222,,False,=,Activation,%,0,http://qudt.org/vocab/unit#Percent,56137,1,False,=,Activation,%,0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000187
,574600,CHEMBL712018,Inhibition of estradiol induced estrogen receptor transcriptional activation in MCF-7-2a cells,F,BAO_0000190,BAO_0000219,cell-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38222,CHEMBL38222,6.62,False,=,IC50,nM,240,http://www.openphacts.org/units/Nanomolar,56137,1,True,=,IC50,nM,240,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,574601,CHEMBL712019,Inhibition of MCF-7 cell proliferation at 5 uM,F,,BAO_0000219,cell-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38222,CHEMBL38222,,False,=,T/C corr,%,114,http://qudt.org/vocab/unit#Percent,56137,1,False,=,T/C corr,%,114,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,592043,CHEMBL677750,Displacement of [3H]E2 from calf uterine estrogen receptor,B,,BAO_0000224,protein format,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38266,CHEMBL38266,,False,=,RBA,%,4.03,http://qudt.org/vocab/unit#Percent,56134,1,False,=,RBA,%,4.03,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
,592044,CHEMBL712016,Agonistic effect on estrogen receptor mediated transcriptional activation in MCF-7-2a cells at 1 uM compared to 10e-8 M estradiol,F,,BAO_0000219,cell-based format,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38266,CHEMBL38266,,False,=,Activation,%,0,http://qudt.org/vocab/unit#Percent,56134,1,False,=,Activation,%,0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000187
,592045,CHEMBL712018,Inhibition of estradiol induced estrogen receptor transcriptional activation in MCF-7-2a cells,F,BAO_0000190,BAO_0000219,cell-based format,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38266,CHEMBL38266,7.16,False,=,IC50,nM,70,http://www.openphacts.org/units/Nanomolar,56134,1,True,=,IC50,nM,70,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,592046,CHEMBL712019,Inhibition of MCF-7 cell proliferation at 5 uM,F,,BAO_0000219,cell-based format,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,,CHEMBL1136763,J. Med. Chem.,2003,CHEMBL38266,CHEMBL38266,,False,=,T/C corr,%,102,http://qudt.org/vocab/unit#Percent,56134,1,False,=,T/C corr,%,102,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,603312,CHEMBL682067,Relative binding affinity for estrogen receptor of calf uterine cytosol with [3H]E2,B,,BAO_0000224,protein format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL149791,CHEMBL149791,,False,=,RBA,%,6.2,http://qudt.org/vocab/unit#Percent,293934,1,False,=,RBA,%,6.2,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
,603313,CHEMBL679348,Estrogenic activity in MCF-7-2a cells as percent activation of 10e-8 M estradiol,F,,BAO_0000219,cell-based format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL149791,CHEMBL149791,,False,=,Estrogenic effect,%,0,http://qudt.org/vocab/unit#Percent,293934,1,False,=,Estrogenic effect,%,0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000187
,603314,CHEMBL679352,Antiestrogenic activity in MCF-7-2a cells as concentration required to reduce estradiol effect by 50%,F,BAO_0000190,BAO_0000219,cell-based format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL149791,CHEMBL149791,7.82,False,=,IC50,nM,15,http://www.openphacts.org/units/Nanomolar,293934,1,True,=,IC50,nM,15,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,603315,CHEMBL652772,In vivo antitumor activity against hormone-dependent MXT-M 3.2 mammary tumor in BDF1 mouse at a dose of 20 umol/kg.,F,BAO_0000006,BAO_0000218,organism-based format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL149791,CHEMBL149791,,False,=,Cytotoxicity,%,99,http://qudt.org/vocab/unit#Percent,293934,1,False,=,Cytotoxicity,%,99,CHEMBL375,Mus musculus,Mus musculus,10090,UO_0000187
,610774,CHEMBL682073,"Relative binding affinity against estrogen receptor in calf uterus cytosol using [3H]E2 as radioligand, incubated at 2 hours at 0 degree Centigrade.",B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,RBA1,,123,,114396,1,False,=,RBA1,,123,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,
,610775,CHEMBL682074,"Relative binding affinity against estrogen receptor in calf uterus cytosol using [3H]E2 as radioligand, incubated at 5 hours at 25 degree Centigrade.",B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,RBA2,,243,,114396,1,False,=,RBA2,,243,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,
,610776,CHEMBL848741,Selectivity for relative binding affinity against estrogen receptor at 2 hrs and 5 hr in calf uterus cytosol,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,Selectivity,,1.97,,114396,1,False,=,Selectivity,,1.97,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,
,610777,CHEMBL648152,Relative binding affinity for antiestrogen binding site (AEBS) of calf uterus cytosol,B,,BAO_0000223,protein complex format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,RBA,,40,,114396,1,False,=,RBA,,40,CHEMBL612409,Homo sapiens,Anti-estrogen binding site (AEBS),9606,
,610778,CHEMBL707543,Effective dose for [3H]- estradiol against proliferation of MCF-7 cells,F,BAO_0000188,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,10.52,False,=,EC50,nM,0.03,http://www.openphacts.org/units/Nanomolar,114396,1,True,=,EC50,nM,0.03,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000065
,610779,CHEMBL713523,Percent of effective dose for [3H]estradiol against proliferation of MCF-7 cells.,F,,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,Agonism,%,10,http://qudt.org/vocab/unit#Percent,114396,1,False,=,Agonism,%,10,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,610780,CHEMBL709828,In vitro inhibition of MCF-7 cell proliferation compared to 0.1 nM [3H]-estradiol.,F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,8.6,False,=,IC50,nM,2.5,http://www.openphacts.org/units/Nanomolar,114396,1,True,=,IC50,nM,2.5,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000065
,610781,CHEMBL710420,Percent of inhibitory activity versus 0.1 nm [3H]estradiol against proliferation of MCF-7 cells.,F,BAO_0000201,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,Inhibition,%,100,http://qudt.org/vocab/unit#Percent,114396,1,True,=,Inhibition,%,100,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,610782,CHEMBL879519,Inhibitory activity against proliferation of MCF-7 cells in presence of 10e-6 M concentration of [3H]- estradiol (E2),F,BAO_0080003,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,IC30,uM,4,http://www.openphacts.org/units/Micromolar,114396,1,False,=,IC30,uM,4,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000064
,610783,CHEMBL710419,Percent of inhibitory activity against proliferation of MCF-7 cells in presence of 10e-6 M concentration of [3H]estradiol (E2).,F,BAO_0000201,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,Inhibition,%,81,http://qudt.org/vocab/unit#Percent,114396,1,True,=,Inhibition,%,81,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000187
,610784,CHEMBL653576,Inhibitory activity against proliferation of BT-20 cells in presence of TPE at 10e-5 M concentration.,F,BAO_0080003,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,IC30,uM,4.8,http://www.openphacts.org/units/Micromolar,114396,1,False,=,IC30,uM,4.8,CHEMBL613870,Homo sapiens,BT-20,9606,UO_0000064
,610785,CHEMBL653578,Percent of inhibitory activity against proliferation of BT-20 cells in presence of TPE at 10e-5 M concentration.,F,BAO_0000201,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,Inhibition,%,65,http://qudt.org/vocab/unit#Percent,114396,1,True,=,Inhibition,%,65,CHEMBL613870,Homo sapiens,BT-20,9606,UO_0000187
,610786,CHEMBL648153,Relative binding affinity for antiestrogen binding site (AEBS) of calf uterus 2 hr incubation at 0C,B,,BAO_0000223,protein complex format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1124584,J. Med. Chem.,1989,CHEMBL489,CHEMBL489,,False,=,RBA,,40,,114396,1,False,=,RBA,,40,CHEMBL612409,Homo sapiens,Anti-estrogen binding site (AEBS),9606,
,611836,CHEMBL682067,Relative binding affinity for estrogen receptor of calf uterine cytosol with [3H]E2,B,,BAO_0000224,protein format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL356693,CHEMBL356693,,False,=,RBA,%,0.62,http://qudt.org/vocab/unit#Percent,293932,1,False,=,RBA,%,0.62,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
,611837,CHEMBL679348,Estrogenic activity in MCF-7-2a cells as percent activation of 10e-8 M estradiol,F,,BAO_0000219,cell-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL356693,CHEMBL356693,,False,=,Estrogenic effect,%,0,http://qudt.org/vocab/unit#Percent,293932,1,False,=,Estrogenic effect,%,0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000187
,611838,CHEMBL679352,Antiestrogenic activity in MCF-7-2a cells as concentration required to reduce estradiol effect by 50%,F,BAO_0000190,BAO_0000219,cell-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL356693,CHEMBL356693,6.3,False,=,IC50,nM,500,http://www.openphacts.org/units/Nanomolar,293932,1,True,=,IC50,nM,500,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,611839,CHEMBL652771,In vivo antitumor activity against hormone-dependent MXT-M 3.2 mammary tumor in BDF1 mouse at a dose of 20 umol/kg.,F,BAO_0000006,BAO_0000218,organism-based format,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL356693,CHEMBL356693,,False,=,Cytotoxicity,%,87,http://qudt.org/vocab/unit#Percent,293932,1,False,=,Cytotoxicity,%,87,CHEMBL375,Mus musculus,Mus musculus,10090,UO_0000187
,615799,CHEMBL682067,Relative binding affinity for estrogen receptor of calf uterine cytosol with [3H]E2,B,,BAO_0000224,protein format,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1135829,J. Med. Chem.,2002,CHEMBL357824,CHEMBL357824,,False,=,RBA,%,2.09,http://qudt.org/vocab/unit#Percent,293929,1,False,=,RBA,%,2.09,CHEMBL2095170,Bos taurus,Estrogen receptor,9913,UO_0000187
